id,digit
2049,2
2050,9
2051,8
2052,0
2053,5
2054,7
2055,6
2056,1
2057,4
2058,9
2059,1
2060,6
2061,7
2062,5
2063,1
2064,5
2065,1
2066,6
2067,1
2068,9
2069,5
2070,3
2071,2
2072,9
2073,3
2074,1
2075,0
2076,1
2077,1
2078,1
2079,8
2080,0
2081,9
2082,8
2083,8
2084,4
2085,1
2086,9
2087,1
2088,1
2089,9
2090,1
2091,3
2092,1
2093,5
2094,6
2095,1
2096,6
2097,2
2098,3
2099,2
2100,4
2101,9
2102,4
2103,2
2104,6
2105,2
2106,0
2107,3
2108,0
2109,2
2110,4
2111,1
2112,1
2113,9
2114,1
2115,0
2116,3
2117,1
2118,6
2119,4
2120,6
2121,9
2122,3
2123,8
2124,6
2125,6
2126,9
2127,1
2128,7
2129,7
2130,9
2131,4
2132,1
2133,5
2134,9
2135,2
2136,5
2137,7
2138,0
2139,0
2140,3
2141,9
2142,4
2143,0
2144,3
2145,7
2146,3
2147,0
2148,4
2149,6
2150,4
2151,4
2152,5
2153,5
2154,0
2155,0
2156,4
2157,5
2158,9
2159,9
2160,2
2161,3
2162,3
2163,1
2164,5
2165,1
2166,2
2167,9
2168,9
2169,2
2170,0
2171,9
2172,5
2173,6
2174,1
2175,4
2176,1
2177,7
2178,2
2179,1
2180,5
2181,9
2182,6
2183,5
2184,7
2185,1
2186,4
2187,2
2188,7
2189,8
2190,7
2191,9
2192,2
2193,6
2194,3
2195,3
2196,8
2197,4
2198,3
2199,1
2200,1
2201,6
2202,4
2203,6
2204,2
2205,9
2206,1
2207,2
2208,6
2209,0
2210,1
2211,5
2212,4
2213,8
2214,1
2215,5
2216,4
2217,1
2218,1
2219,0
2220,8
2221,9
2222,4
2223,6
2224,1
2225,4
2226,5
2227,0
2228,1
2229,1
2230,5
2231,1
2232,6
2233,6
2234,0
2235,4
2236,9
2237,2
2238,6
2239,5
2240,7
2241,3
2242,5
2243,5
2244,5
2245,9
2246,0
2247,2
2248,7
2249,1
2250,5
2251,9
2252,1
2253,5
2254,6
2255,6
2256,6
2257,7
2258,7
2259,1
2260,5
2261,7
2262,3
2263,1
2264,0
2265,7
2266,3
2267,0
2268,9
2269,7
2270,3
2271,6
2272,9
2273,3
2274,9
2275,0
2276,7
2277,0
2278,7
2279,1
2280,9
2281,5
2282,9
2283,9
2284,5
2285,6
2286,9
2287,3
2288,6
2289,3
2290,8
2291,1
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,7
2299,2
2300,9
2301,2
2302,9
2303,3
2304,4
2305,7
2306,9
2307,8
2308,4
2309,1
2310,4
2311,8
2312,0
2313,3
2314,1
2315,9
2316,4
2317,2
2318,7
2319,2
2320,5
2321,0
2322,9
2323,9
2324,1
2325,7
2326,4
2327,5
2328,9
2329,4
2330,7
2331,6
2332,9
2333,2
2334,9
2335,1
2336,1
2337,6
2338,8
2339,2
2340,4
2341,8
2342,6
2343,1
2344,3
2345,1
2346,9
2347,1
2348,3
2349,1
2350,3
2351,1
2352,2
2353,6
2354,1
2355,1
2356,2
2357,1
2358,7
2359,5
2360,4
2361,2
2362,9
2363,1
2364,2
2365,9
2366,5
2367,2
2368,1
2369,1
2370,7
2371,7
2372,1
2373,1
2374,9
2375,8
2376,0
2377,5
2378,9
2379,3
2380,6
2381,3
2382,4
2383,3
2384,5
2385,7
2386,1
2387,2
2388,2
2389,4
2390,8
2391,8
2392,7
2393,1
2394,8
2395,3
2396,1
2397,1
2398,5
2399,3
2400,0
2401,7
2402,4
2403,8
2404,2
2405,7
2406,3
2407,7
2408,1
2409,9
2410,9
2411,3
2412,3
2413,1
2414,3
2415,7
2416,5
2417,6
2418,7
2419,2
2420,7
2421,2
2422,2
2423,9
2424,8
2425,1
2426,1
2427,4
2428,1
2429,8
2430,9
2431,3
2432,6
2433,9
2434,9
2435,9
2436,0
2437,7
2438,1
2439,9
2440,1
2441,7
2442,9
2443,3
2444,3
2445,9
2446,4
2447,4
2448,6
2449,5
2450,7
2451,3
2452,0
2453,1
2454,9
2455,0
2456,5
2457,6
2458,5
2459,1
2460,8
2461,6
2462,7
2463,7
2464,9
2465,9
2466,1
2467,9
2468,4
2469,0
2470,3
2471,1
2472,8
2473,5
2474,9
2475,4
2476,3
2477,4
2478,1
2479,4
2480,8
2481,9
2482,6
2483,4
2484,6
2485,8
2486,7
2487,2
2488,2
2489,0
2490,9
2491,9
2492,3
2493,6
2494,1
2495,6
2496,9
2497,3
2498,9
2499,7
2500,7
2501,2
2502,1
2503,7
2504,5
2505,8
2506,2
2507,7
2508,5
2509,7
2510,9
2511,5
2512,7
2513,2
2514,9
2515,2
2516,4
2517,1
2518,7
2519,0
2520,5
2521,5
2522,4
2523,5
2524,1
2525,8
2526,1
2527,3
2528,9
2529,5
2530,7
2531,7
2532,7
2533,7
2534,4
2535,5
2536,4
2537,7
2538,5
2539,7
2540,4
2541,4
2542,4
2543,7
2544,5
2545,7
2546,3
2547,9
2548,1
2549,1
2550,9
2551,6
2552,5
2553,2
2554,9
2555,9
2556,0
2557,7
2558,6
2559,6
2560,1
2561,7
2562,6
2563,2
2564,1
2565,1
2566,6
2567,9
2568,3
2569,1
2570,7
2571,6
2572,3
2573,7
2574,5
2575,1
2576,7
2577,2
2578,9
2579,9
2580,2
2581,0
2582,8
