id,digit
2049,1
2050,6
2051,0
2052,0
2053,1
2054,0
2055,7
2056,6
2057,1
2058,1
2059,1
2060,6
2061,1
2062,6
2063,6
2064,8
2065,1
2066,6
2067,4
2068,1
2069,1
2070,9
2071,1
2072,0
2073,5
2074,7
2075,6
2076,4
2077,7
2078,6
2079,6
2080,1
2081,6
2082,5
2083,5
2084,1
2085,1
2086,9
2087,1
2088,4
2089,5
2090,1
2091,8
2092,4
2093,1
2094,1
2095,7
2096,6
2097,1
2098,6
2099,6
2100,1
2101,7
2102,1
2103,6
2104,6
2105,7
2106,0
2107,3
2108,6
2109,6
2110,2
2111,0
2112,1
2113,3
2114,0
2115,0
2116,0
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,3
2124,7
2125,6
2126,9
2127,1
2128,6
2129,1
2130,4
2131,9
2132,5
2133,1
2134,1
2135,1
2136,0
2137,7
2138,0
2139,6
2140,6
2141,0
2142,2
2143,1
2144,4
2145,4
2146,9
2147,0
2148,1
2149,6
2150,0
2151,6
2152,0
2153,0
2154,6
2155,1
2156,9
2157,9
2158,6
2159,1
2160,1
2161,7
2162,0
2163,1
2164,6
2165,0
2166,6
2167,6
2168,1
2169,1
2170,0
2171,9
2172,9
2173,6
2174,1
2175,0
2176,1
2177,1
2178,6
2179,1
2180,5
2181,7
2182,6
2183,6
2184,1
2185,1
2186,6
2187,4
2188,9
2189,1
2190,1
2191,6
2192,2
2193,6
2194,5
2195,1
2196,6
2197,7
2198,4
2199,6
2200,6
2201,6
2202,1
2203,6
2204,4
2205,6
2206,8
2207,6
2208,1
2209,0
2210,0
2211,1
2212,1
2213,2
2214,4
2215,6
2216,4
2217,1
2218,1
2219,0
2220,7
2221,9
2222,1
2223,6
2224,1
2225,6
2226,1
2227,0
2228,7
2229,6
2230,6
2231,4
2232,6
2233,1
2234,1
2235,8
2236,1
2237,6
2238,1
2239,0
2240,1
2241,1
2242,5
2243,1
2244,6
2245,6
2246,0
2247,1
2248,6
2249,1
2250,7
2251,0
2252,1
2253,4
2254,6
2255,0
2256,6
2257,1
2258,7
2259,6
2260,6
2261,6
2262,2
2263,6
2264,1
2265,7
2266,0
2267,0
2268,9
2269,6
2270,6
2271,1
2272,9
2273,4
2274,4
2275,1
2276,7
2277,6
2278,1
2279,1
2280,4
2281,1
2282,6
2283,4
2284,1
2285,6
2286,7
2287,3
2288,6
2289,9
2290,4
2291,1
2292,1
2293,1
2294,0
2295,0
2296,6
2297,6
2298,1
2299,0
2300,7
2301,1
2302,6
2303,1
2304,0
2305,6
2306,9
2307,2
2308,7
2309,1
2310,9
2311,7
2312,9
2313,0
2314,9
2315,8
2316,4
2317,6
2318,1
2319,0
2320,6
2321,1
2322,5
2323,9
2324,1
2325,6
2326,4
2327,7
2328,9
2329,4
2330,1
2331,0
2332,7
2333,4
2334,9
2335,6
2336,1
2337,7
2338,6
2339,6
2340,7
2341,9
2342,6
2343,6
2344,0
2345,7
2346,7
2347,6
2348,0
2349,1
2350,3
2351,1
2352,6
2353,1
2354,6
2355,1
2356,6
2357,6
2358,7
2359,6
2360,7
2361,4
2362,9
2363,1
2364,1
2365,6
2366,0
2367,2
2368,1
2369,6
2370,4
2371,9
2372,0
2373,7
2374,9
2375,4
2376,0
2377,2
2378,6
2379,6
2380,9
2381,6
2382,1
2383,0
2384,1
2385,1
2386,0
2387,0
2388,7
2389,7
2390,1
2391,7
2392,9
2393,1
2394,6
2395,0
2396,7
2397,1
2398,6
2399,0
2400,0
2401,7
2402,1
2403,1
2404,6
2405,9
2406,1
2407,7
2408,6
2409,6
2410,9
2411,1
2412,1
2413,6
2414,0
2415,6
2416,8
2417,6
2418,4
2419,7
2420,9
2421,6
2422,0
2423,6
2424,1
2425,1
2426,5
2427,1
2428,1
2429,8
2430,6
2431,6
2432,7
2433,1
2434,9
2435,6
2436,0
2437,7
2438,7
2439,6
2440,1
2441,7
2442,1
2443,4
2444,1
2445,7
2446,1
2447,9
2448,1
2449,0
2450,7
2451,9
2452,2
2453,1
2454,4
2455,6
2456,6
2457,6
2458,4
2459,1
2460,6
2461,6
2462,6
2463,6
2464,6
2465,7
2466,1
2467,9
2468,1
2469,7
2470,0
2471,1
2472,6
2473,6
2474,4
2475,6
2476,6
2477,4
2478,9
2479,1
2480,4
2481,4
2482,6
2483,1
2484,6
2485,4
2486,6
2487,2
2488,4
2489,6
2490,4
2491,6
2492,6
2493,1
2494,6
2495,7
2496,9
2497,6
2498,0
2499,7
2500,7
2501,6
2502,1
2503,1
2504,8
2505,7
2506,1
2507,0
2508,6
2509,7
2510,1
2511,5
2512,6
2513,4
2514,9
2515,1
2516,1
2517,1
2518,1
2519,1
2520,8
2521,6
2522,6
2523,0
2524,7
2525,6
2526,5
2527,4
2528,9
2529,9
2530,9
2531,3
2532,1
2533,0
2534,6
2535,8
2536,4
2537,6
2538,9
2539,7
2540,0
2541,4
2542,9
2543,6
2544,6
2545,0
2546,3
2547,7
2548,1
2549,1
2550,1
2551,6
2552,4
2553,6
2554,6
2555,7
2556,1
2557,0
2558,1
2559,8
2560,6
2561,6
2562,6
2563,2
2564,0
2565,1
2566,0
2567,7
2568,0
2569,6
2570,9
2571,6
2572,8
2573,6
2574,6
2575,2
2576,7
2577,7
2578,9
2579,1
2580,6
2581,0
2582,8
2583,6
2584,1
2585,8
2586,6
2587,2
2588,1
2589,1
2590,8
2591,6
2592,1
2593,6
2594,9
2595,1
2596,4
2597,8
2598,6
2599,6
2600,1
2601,2
2602,6
2603,7
2604,9
2605,8
2606,1
2607,7
2608,1
2609,8
2610,6
2611,2
2612,6
2613,1
2614,0
2615,1
2616,1
2617,1
2618,8
2619,7
2620,0
2621,2
2622,6
2623,0
2624,1
2625,1
2626,1
2627,0
2628,7
2629,0
2630,3
2631,1
2632,6
2633,6
2634,3
2635,1
2636,6
2637,1
2638,0
2639,1
2640,6
2641,0
2642,7
2643,6
2644,1
2645,1
2646,6
2647,1
2648,1
2649,6
2650,1
2651,9
2652,1
2653,9
2654,6
2655,7
2656,7
2657,9
2658,2
2659,1
2660,6
2661,0
2662,0
2663,1
2664,2
2665,6
2666,1
2667,9
2668,1
2669,3
2670,5
2671,6
2672,6
2673,9
2674,6
2675,1
2676,6
2677,4
2678,1
2679,9
2680,9
2681,9
2682,5
2683,4
2684,7
2685,7
2686,1
2687,1
2688,6
2689,1
2690,5
2691,1
2692,6
2693,1
2694,1
2695,0
2696,6
2697,6
2698,1
2699,8
2700,7
2701,6
2702,6
2703,1
2704,6
2705,3
2706,1
2707,1
2708,9
2709,1
2710,0
2711,6
2712,6
2713,0
2714,4
2715,1
2716,1
2717,6
2718,1
2719,9
2720,0
2721,6
2722,9
2723,6
2724,1
2725,1
2726,0
2727,6
2728,6
2729,1
2730,6
2731,6
2732,1
2733,0
2734,4
2735,9
2736,7
2737,6
2738,6
2739,9
2740,6
2741,5
2742,7
2743,9
2744,2
2745,1
2746,6
2747,4
2748,6
2749,6
2750,1
2751,2
2752,2
2753,1
2754,9
2755,1
2756,6
2757,9
2758,0
2759,1
2760,1
2761,0
2762,9
2763,2
2764,1
2765,2
2766,3
2767,1
2768,8
2769,6
2770,1
2771,0
2772,4
2773,9
2774,2
2775,0
2776,2
2777,7
2778,1
2779,9
2780,1
2781,0
2782,1
2783,4
2784,0
2785,1
2786,1
2787,4
2788,4
2789,6
2790,6
2791,6
2792,6
2793,7
2794,0
2795,1
2796,9
2797,4
2798,1
2799,6
2800,9
2801,6
2802,9
2803,1
2804,1
2805,6
2806,8
2807,0
2808,1
2809,6
2810,6
2811,4
2812,9
2813,6
2814,7
2815,1
2816,1
2817,4
2818,6
2819,6
2820,1
2821,1
2822,1
2823,1
2824,6
2825,6
2826,7
2827,6
2828,1
2829,6
2830,7
2831,1
2832,9
2833,7
2834,9
2835,1
2836,9
2837,6
2838,1
2839,0
2840,6
2841,7
2842,6
2843,4
2844,9
2845,6
2846,4
2847,1
2848,1
2849,6
2850,4
2851,1
2852,6
2853,0
2854,2
2855,6
2856,0
2857,0
2858,0
2859,1
2860,6
2861,7
2862,1
2863,6
2864,1
2865,1
2866,4
2867,9
2868,4
2869,6
2870,1
2871,1
2872,8
2873,6
2874,0
2875,9
2876,1
2877,1
2878,7
2879,6
2880,4
2881,4
2882,1
2883,0
2884,7
2885,8
2886,7
2887,9
2888,1
2889,1
2890,0
2891,9
2892,6
2893,4
2894,7
2895,9
2896,1
2897,1
2898,6
2899,1
2900,1
2901,2
2902,6
2903,5
2904,1
2905,4
2906,8
2907,5
2908,1
2909,0
2910,1
2911,6
2912,4
2913,1
2914,9
2915,6
2916,0
2917,8
2918,6
2919,1
2920,1
2921,6
2922,6
2923,1
2924,9
2925,1
2926,1
2927,1
2928,6
2929,0
2930,1
2931,4
2932,1
2933,0
2934,7
2935,1
2936,4
2937,6
2938,1
2939,6
2940,0
2941,1
2942,9
2943,9
2944,6
2945,9
2946,0
2947,1
2948,1
2949,7
2950,1
2951,1
2952,7
2953,1
2954,6
2955,7
2956,1
2957,0
2958,2
2959,1
2960,1
2961,1
2962,1
2963,6
2964,0
2965,1
2966,7
2967,7
2968,3
2969,7
2970,0
2971,1
2972,1
2973,7
2974,1
2975,6
2976,6
2977,9
2978,2
2979,7
2980,1
2981,6
2982,5
2983,7
2984,6
2985,0
2986,6
2987,7
2988,6
2989,6
2990,6
2991,7
2992,1
2993,7
2994,2
2995,7
2996,1
2997,4
2998,8
2999,2
3000,4
3001,6
3002,0
3003,1
3004,1
3005,3
3006,1
3007,1
3008,9
3009,1
3010,0
3011,4
3012,6
3013,6
3014,1
3015,1
3016,6
3017,1
3018,0
3019,9
3020,6
3021,4
3022,1
3023,6
3024,1
3025,1
3026,1
3027,6
3028,7
3029,9
3030,4
3031,7
3032,1
3033,6
3034,6
3035,1
3036,1
3037,1
3038,8
3039,3
3040,6
3041,9
3042,1
3043,1
3044,7
3045,6
3046,3
3047,6
3048,0
3049,6
3050,7
3051,0
3052,7
3053,1
3054,7
3055,6
3056,6
3057,1
3058,9
3059,6
3060,7
3061,6
3062,6
3063,6
3064,6
3065,7
3066,6
3067,6
3068,7
3069,5
3070,6
3071,0
3072,8
3073,1
3074,7
3075,6
3076,1
3077,1
3078,6
3079,0
3080,6
3081,9
3082,6
3083,7
3084,0
3085,1
3086,9
3087,7
3088,7
3089,9
3090,1
3091,6
3092,6
3093,0
3094,6
3095,0
3096,7
3097,1
3098,6
3099,8
3100,1
3101,1
3102,6
3103,9
3104,7
3105,1
3106,4
3107,6
3108,0
3109,8
3110,6
3111,1
3112,5
3113,1
3114,6
3115,7
3116,1
3117,6
3118,2
3119,8
3120,6
3121,6
3122,6
3123,1
3124,6
3125,1
3126,6
3127,8
3128,1
3129,1
3130,1
3131,9
3132,0
3133,1
3134,6
3135,9
3136,1
3137,1
3138,4
3139,7
3140,7
3141,1
3142,1
3143,4
3144,6
3145,1
3146,8
3147,4
3148,1
3149,6
3150,3
3151,4
3152,9
3153,6
3154,6
3155,7
3156,6
3157,1
3158,9
3159,6
3160,7
3161,6
3162,1
3163,8
3164,6
3165,3
3166,7
3167,1
3168,6
3169,1
3170,6
3171,6
3172,6
3173,1
3174,0
3175,7
3176,9
3177,4
3178,6
3179,9
3180,6
3181,6
3182,9
3183,6
3184,6
3185,7
3186,1
3187,1
3188,1
3189,1
3190,7
3191,8
3192,6
3193,1
3194,0
3195,7
3196,6
3197,6
3198,6
3199,0
3200,7
3201,7
3202,9
3203,6
3204,0
3205,0
3206,7
3207,9
3208,7
3209,4
3210,9
3211,1
3212,1
3213,4
3214,6
3215,6
3216,6
3217,0
3218,1
3219,6
3220,9
3221,4
3222,7
3223,1
3224,6
3225,6
3226,6
3227,1
3228,3
3229,1
3230,6
3231,6
3232,9
3233,8
3234,0
3235,0
3236,0
3237,9
3238,6
3239,0
3240,7
3241,1
3242,5
3243,1
3244,0
3245,6
3246,6
3247,0
3248,6
3249,6
3250,4
3251,7
3252,1
3253,7
3254,1
3255,9
3256,4
3257,1
3258,9
3259,2
3260,6
3261,7
3262,4
3263,6
3264,9
3265,4
3266,4
3267,1
3268,9
3269,6
3270,0
3271,1
3272,9
3273,7
3274,6
3275,2
3276,1
3277,1
3278,6
3279,9
3280,1
3281,0
3282,8
3283,0
3284,6
3285,6
3286,7
3287,2
3288,0
3289,9
3290,1
3291,6
3292,1
3293,9
3294,6
3295,1
3296,4
3297,7
3298,6
3299,4
3300,0
3301,0
3302,6
3303,6
3304,6
3305,1
3306,9
3307,6
3308,1
3309,3
3310,0
3311,1
3312,1
3313,0
3314,1
3315,6
3316,1
3317,1
3318,7
3319,0
3320,7
3321,6
3322,1
3323,2
3324,6
3325,6
3326,1
3327,9
3328,6
3329,9
3330,7
3331,9
3332,8
3333,6
3334,9
3335,1
3336,1
3337,9
3338,6
3339,1
3340,2
3341,7
3342,1
3343,1
3344,9
3345,1
3346,1
3347,6
3348,6
3349,7
3350,9
3351,6
3352,6
3353,9
3354,1
3355,6
3356,6
3357,8
3358,6
3359,7
3360,3
3361,9
3362,1
3363,1
3364,7
3365,2
3366,2
3367,6
3368,0
3369,0
3370,6
3371,6
3372,9
3373,6
3374,1
3375,7
3376,1
3377,4
3378,6
3379,8
3380,0
3381,6
3382,6
3383,4
3384,0
3385,6
3386,6
3387,6
3388,2
3389,6
3390,9
3391,2
3392,0
3393,1
3394,6
3395,4
3396,6
3397,6
3398,6
3399,9
3400,3
3401,6
3402,7
3403,4
3404,0
3405,8
3406,1
3407,4
3408,6
3409,2
3410,6
3411,1
3412,1
3413,1
3414,4
3415,9
3416,6
3417,7
3418,9
3419,6
3420,6
3421,0
3422,1
3423,2
3424,0
3425,1
3426,1
3427,6
3428,1
3429,6
3430,1
3431,1
3432,6
3433,1
3434,1
3435,1
3436,7
3437,3
3438,8
3439,1
3440,1
3441,6
3442,6
3443,6
3444,1
3445,1
3446,8
3447,0
3448,0
3449,6
3450,7
3451,9
3452,3
3453,6
3454,4
3455,4
3456,6
3457,1
3458,6
3459,6
3460,2
3461,6
3462,7
3463,6
3464,9
3465,0
3466,1
3467,6
3468,7
3469,1
3470,6
3471,3
3472,1
3473,7
3474,4
3475,7
3476,9
3477,0
3478,1
3479,1
3480,1
3481,1
3482,1
3483,6
3484,1
3485,0
3486,0
3487,0
3488,6
3489,1
3490,1
3491,7
3492,8
3493,1
3494,0
3495,1
3496,6
3497,0
3498,1
3499,9
3500,6
3501,1
3502,6
3503,1
3504,0
3505,6
3506,2
3507,0
3508,0
3509,6
3510,6
3511,4
3512,7
3513,6
3514,1
3515,1
3516,1
3517,6
3518,8
3519,6
3520,1
3521,6
3522,8
3523,3
3524,0
3525,2
3526,0
3527,0
3528,1
3529,9
3530,4
3531,0
3532,6
3533,9
3534,1
3535,1
3536,0
3537,1
3538,8
3539,0
3540,1
3541,7
3542,6
3543,0
3544,2
3545,4
3546,2
3547,2
3548,6
3549,6
3550,9
3551,4
3552,1
3553,0
3554,1
3555,1
3556,2
3557,1
3558,4
3559,6
3560,6
3561,0
3562,6
3563,6
3564,6
3565,9
3566,7
3567,1
3568,9
3569,9
3570,9
3571,6
3572,7
3573,6
3574,1
3575,4
3576,6
3577,6
3578,9
3579,1
3580,4
3581,1
3582,1
3583,2
3584,6
3585,1
3586,1
3587,6
3588,9
3589,1
3590,0
3591,4
3592,6
3593,9
3594,2
3595,1
3596,4
3597,9
3598,7
3599,6
3600,7
3601,1
3602,4
3603,1
3604,1
3605,9
3606,6
3607,1
3608,9
3609,6
3610,6
3611,5
3612,6
3613,2
3614,7
3615,1
3616,4
3617,4
3618,7
3619,4
3620,1
3621,9
3622,4
3623,0
3624,4
3625,6
3626,9
3627,1
3628,0
3629,1
3630,6
3631,8
3632,1
3633,9
3634,1
3635,0
3636,6
3637,1
3638,0
3639,1
3640,1
3641,1
3642,1
3643,0
3644,1
3645,7
3646,1
3647,6
3648,6
3649,2
3650,6
3651,6
3652,7
3653,0
3654,6
3655,7
3656,6
3657,4
3658,0
3659,7
3660,2
3661,2
3662,1
3663,7
3664,7
3665,6
3666,6
3667,6
3668,2
3669,0
3670,6
3671,1
3672,0
3673,1
3674,9
3675,9
3676,9
3677,6
3678,8
3679,0
3680,7
3681,6
3682,0
3683,1
3684,6
3685,7
3686,0
3687,6
3688,4
3689,6
3690,1
3691,2
3692,0
3693,1
3694,7
3695,0
3696,6
3697,7
3698,1
3699,6
3700,7
3701,9
3702,1
3703,0
3704,0
3705,4
3706,1
3707,6
3708,6
3709,7
3710,2
3711,6
3712,6
3713,1
3714,7
3715,6
3716,1
3717,5
3718,1
3719,1
3720,1
3721,3
3722,2
3723,4
3724,8
3725,6
3726,2
3727,1
3728,7
3729,9
3730,0
3731,6
3732,6
3733,6
3734,6
3735,4
3736,4
3737,9
3738,0
3739,0
3740,6
3741,4
3742,0
3743,9
3744,1
3745,1
3746,1
3747,1
3748,8
3749,5
3750,9
3751,4
3752,4
3753,5
3754,7
3755,9
3756,0
3757,6
3758,4
3759,6
3760,1
3761,1
3762,4
3763,1
3764,1
3765,9
3766,7
3767,1
3768,0
3769,6
3770,1
3771,1
3772,7
3773,6
3774,5
3775,7
3776,1
3777,1
3778,1
3779,6
3780,6
3781,1
3782,1
3783,0
3784,2
3785,0
3786,2
3787,1
3788,0
3789,1
3790,9
3791,6
3792,7
3793,1
3794,1
3795,1
3796,7
3797,1
3798,6
3799,0
3800,6
3801,1
3802,6
3803,4
3804,6
3805,8
3806,6
3807,4
3808,7
3809,1
3810,6
3811,7
3812,4
3813,8
3814,7
3815,9
3816,4
3817,1
3818,6
3819,6
3820,0
3821,1
3822,0
3823,7
3824,6
3825,7
3826,6
3827,6
3828,1
3829,1
3830,6
3831,1
3832,6
3833,9
3834,7
3835,9
3836,1
3837,7
3838,6
3839,7
3840,6
3841,7
3842,6
3843,9
3844,9
3845,1
3846,9
3847,6
3848,7
3849,7
3850,6
3851,0
3852,7
3853,9
3854,7
3855,9
3856,1
3857,6
3858,4
3859,0
3860,6
3861,1
3862,7
3863,1
3864,9
3865,6
3866,6
3867,7
3868,9
3869,2
3870,1
3871,9
3872,6
3873,7
3874,1
3875,1
3876,9
3877,7
3878,4
3879,6
3880,0
3881,9
3882,7
3883,6
3884,1
3885,6
3886,6
3887,1
3888,5
3889,6
3890,1
3891,6
3892,6
3893,4
3894,6
3895,6
3896,6
3897,7
3898,7
3899,1
3900,6
3901,9
3902,7
3903,0
3904,2
3905,1
3906,9
3907,1
3908,7
3909,9
3910,0
3911,1
3912,7
3913,7
3914,6
3915,1
3916,6
3917,6
3918,6
3919,0
3920,9
3921,6
3922,4
3923,6
3924,6
3925,7
3926,8
3927,1
3928,9
3929,6
3930,7
3931,6
3932,0
3933,4
3934,9
3935,6
3936,9
3937,6
3938,4
3939,6
3940,6
3941,1
3942,9
3943,7
3944,7
3945,6
3946,9
3947,6
3948,1
3949,7
3950,0
3951,6
3952,0
3953,1
3954,7
3955,4
3956,9
3957,0
3958,6
3959,6
3960,6
3961,6
3962,6
3963,4
3964,4
3965,4
3966,0
3967,2
3968,1
3969,6
3970,0
3971,1
3972,4
3973,6
3974,6
3975,7
3976,0
3977,6
3978,1
3979,9
3980,1
3981,6
3982,9
3983,3
3984,9
3985,4
3986,6
3987,4
3988,4
3989,0
3990,4
3991,7
3992,6
3993,9
3994,0
3995,7
3996,0
3997,8
3998,7
3999,7
4000,6
4001,5
4002,6
4003,6
4004,6
4005,1
4006,1
4007,6
4008,8
4009,6
4010,1
4011,0
4012,7
4013,1
4014,7
4015,6
4016,1
4017,9
4018,0
4019,6
4020,7
4021,6
4022,1
4023,6
4024,8
4025,9
4026,1
4027,1
4028,1
4029,6
4030,6
4031,1
4032,1
4033,6
4034,1
4035,4
4036,7
4037,9
4038,0
4039,4
4040,6
4041,4
4042,1
4043,7
4044,1
4045,1
4046,6
4047,9
4048,7
4049,6
4050,1
4051,9
4052,6
4053,9
4054,6
4055,6
4056,6
4057,0
4058,1
4059,6
4060,1
4061,9
4062,6
4063,9
4064,1
4065,9
4066,0
4067,1
4068,6
4069,6
4070,0
4071,9
4072,9
4073,5
4074,7
4075,2
4076,1
4077,1
4078,0
4079,7
4080,6
4081,1
4082,1
4083,7
4084,6
4085,6
4086,1
4087,6
4088,7
4089,1
4090,7
4091,1
4092,0
4093,6
4094,1
4095,4
4096,1
4097,1
4098,1
4099,6
4100,7
4101,1
4102,9
4103,8
4104,1
4105,6
4106,8
4107,9
4108,8
4109,1
4110,2
4111,9
4112,9
4113,1
4114,6
4115,4
4116,7
4117,6
4118,1
4119,9
4120,0
4121,1
4122,1
4123,9
4124,7
4125,4
4126,1
4127,0
4128,6
4129,7
4130,6
4131,1
4132,1
4133,4
4134,9
4135,9
4136,6
4137,1
4138,6
4139,4
4140,7
4141,1
4142,7
4143,1
4144,9
4145,6
4146,5
4147,0
4148,0
4149,9
4150,7
4151,0
4152,6
4153,1
4154,2
4155,1
4156,7
4157,0
4158,2
4159,9
4160,1
4161,6
4162,7
4163,7
4164,4
4165,1
4166,9
4167,1
4168,7
4169,0
4170,9
4171,2
4172,6
4173,0
4174,7
4175,9
4176,6
4177,0
4178,9
4179,0
4180,1
4181,6
4182,9
4183,4
4184,4
4185,4
4186,4
4187,6
4188,9
4189,0
4190,7
4191,6
4192,6
4193,6
4194,6
4195,6
4196,6
4197,7
4198,3
4199,6
4200,1
4201,7
4202,1
4203,1
4204,6
4205,7
4206,1
4207,1
4208,7
4209,1
4210,8
4211,4
4212,6
4213,4
4214,1
4215,6
4216,0
4217,7
4218,6
4219,1
4220,6
4221,6
4222,0
4223,1
4224,0
4225,1
4226,1
4227,5
4228,7
4229,6
4230,7
4231,0
4232,7
4233,1
4234,8
4235,6
4236,9
4237,6
4238,1
4239,7
4240,9
4241,6
4242,1
4243,6
4244,1
4245,1
4246,7
4247,8
4248,6
4249,0
4250,6
4251,0
4252,1
4253,1
4254,6
4255,3
4256,6
4257,1
4258,6
4259,1
4260,0
4261,7
4262,1
4263,7
4264,5
4265,1
4266,6
4267,0
4268,3
4269,0
4270,0
4271,4
4272,1
4273,6
4274,1
4275,7
4276,6
4277,9
4278,7
4279,1
4280,4
4281,9
4282,1
4283,0
4284,6
4285,1
4286,0
4287,6
4288,7
4289,1
4290,8
4291,6
4292,5
4293,1
4294,1
4295,1
4296,6
4297,0
4298,0
4299,1
4300,9
4301,4
4302,5
4303,4
4304,6
4305,0
4306,1
4307,6
4308,7
4309,1
4310,7
4311,6
4312,7
4313,6
4314,7
4315,1
