id,digit
2049,2
2050,8
2051,2
2052,8
2053,8
2054,8
2055,8
2056,2
2057,2
2058,8
2059,2
2060,8
2061,2
2062,8
2063,5
2064,8
2065,2
2066,2
2067,5
2068,2
2069,3
2070,8
2071,8
2072,2
2073,3
2074,8
2075,8
2076,9
2077,8
2078,2
2079,2
2080,2
2081,8
2082,2
2083,2
2084,8
2085,2
2086,2
2087,2
2088,8
2089,2
2090,2
2091,8
2092,8
2093,3
2094,2
2095,9
2096,8
2097,2
2098,8
2099,8
2100,2
2101,8
2102,2
2103,2
2104,8
2105,2
2106,2
2107,2
2108,8
2109,2
2110,2
2111,3
2112,2
2113,2
2114,8
2115,8
2116,3
2117,9
2118,2
2119,2
2120,8
2121,2
2122,8
2123,2
2124,2
2125,2
2126,9
2127,2
2128,2
2129,2
2130,2
2131,2
2132,8
2133,2
2134,2
2135,8
2136,8
2137,8
2138,8
2139,8
2140,8
2141,2
2142,2
2143,8
2144,8
2145,9
2146,8
2147,8
2148,2
2149,2
2150,8
2151,2
2152,8
2153,8
2154,8
2155,2
2156,8
2157,8
2158,2
2159,8
2160,8
2161,8
2162,8
2163,2
2164,8
2165,2
2166,2
2167,9
2168,2
2169,2
2170,2
2171,9
2172,8
2173,8
2174,2
2175,8
2176,2
2177,2
2178,2
2179,2
2180,2
2181,8
2182,8
2183,2
2184,2
2185,2
2186,8
2187,8
2188,8
2189,2
2190,2
2191,2
2192,2
2193,8
2194,8
2195,2
2196,2
2197,3
2198,8
2199,2
2200,8
2201,2
2202,2
2203,8
2204,3
2205,8
2206,2
2207,8
2208,8
2209,8
2210,8
2211,2
2212,2
2213,2
2214,7
2215,2
2216,8
2217,0
2218,2
2219,8
2220,8
2221,8
2222,2
2223,2
2224,2
2225,8
2226,8
2227,8
2228,8
2229,8
2230,2
2231,8
2232,0
2233,2
2234,2
2235,2
2236,9
2237,2
2238,8
2239,3
2240,2
2241,8
2242,2
2243,8
2244,2
2245,8
2246,2
2247,2
2248,8
2249,6
2250,8
2251,8
2252,2
2253,2
2254,8
2255,8
2256,8
2257,8
2258,8
2259,8
2260,2
2261,8
2262,2
2263,8
2264,8
2265,8
2266,8
2267,8
2268,8
2269,2
2270,2
2271,8
2272,8
2273,2
2274,8
2275,3
2276,9
2277,8
2278,7
2279,2
2280,8
2281,8
2282,8
2283,2
2284,8
2285,6
2286,2
2287,2
2288,8
2289,8
2290,8
2291,8
2292,2
2293,3
2294,8
2295,2
2296,8
2297,5
2298,8
2299,0
2300,7
2301,2
2302,2
2303,2
2304,2
2305,8
2306,9
2307,2
2308,2
2309,2
2310,8
2311,8
2312,8
2313,8
2314,8
2315,8
2316,2
2317,2
2318,3
2319,6
2320,8
2321,3
2322,8
2323,8
2324,2
2325,2
2326,2
2327,2
2328,9
2329,8
2330,0
2331,2
2332,8
2333,8
2334,8
2335,2
2336,2
2337,2
2338,2
2339,8
2340,2
2341,2
2342,8
2343,3
2344,8
2345,2
2346,8
2347,2
2348,8
2349,2
2350,2
2351,2
2352,2
2353,8
2354,2
2355,2
2356,2
2357,8
2358,2
2359,2
2360,8
2361,2
2362,8
2363,2
2364,2
2365,8
2366,2
2367,2
2368,8
2369,8
2370,8
2371,8
2372,3
2373,2
2374,8
2375,8
2376,8
2377,2
2378,9
2379,2
2380,8
2381,8
2382,2
2383,8
2384,8
2385,2
2386,6
2387,2
2388,2
2389,2
2390,8
2391,3
2392,8
2393,2
2394,8
2395,8
2396,2
2397,2
2398,8
2399,3
2400,8
2401,2
2402,6
2403,8
2404,8
2405,8
2406,3
2407,2
2408,8
2409,2
2410,3
2411,2
2412,3
2413,2
2414,0
2415,2
2416,2
2417,8
2418,8
2419,2
2420,8
2421,8
2422,2
2423,2
2424,2
2425,2
2426,5
2427,5
2428,8
2429,8
2430,8
2431,2
2432,2
2433,3
2434,8
2435,2
2436,8
2437,8
2438,2
2439,8
2440,8
2441,8
2442,8
2443,8
2444,3
2445,8
2446,2
2447,8
2448,8
2449,2
2450,3
2451,8
2452,2
2453,2
2454,8
2455,2
2456,8
2457,2
2458,8
2459,5
2460,2
2461,8
2462,8
2463,2
2464,2
2465,8
2466,2
2467,8
2468,8
2469,3
2470,8
2471,2
2472,2
2473,2
2474,8
2475,8
2476,2
2477,8
2478,8
2479,2
2480,2
2481,2
2482,8
2483,8
2484,8
2485,2
2486,8
2487,2
2488,2
2489,8
2490,9
2491,8
2492,2
2493,2
2494,2
2495,2
2496,8
2497,8
2498,9
2499,2
2500,8
2501,2
2502,8
2503,8
2504,2
2505,2
2506,2
2507,2
2508,8
2509,8
2510,2
2511,8
2512,2
2513,8
2514,8
2515,2
2516,8
2517,2
2518,8
2519,8
2520,8
2521,8
2522,8
2523,8
2524,3
2525,2
2526,8
2527,2
2528,2
2529,2
2530,8
2531,3
2532,2
2533,2
2534,8
2535,8
2536,8
2537,0
2538,8
2539,9
2540,8
2541,8
2542,2
2543,8
2544,8
2545,2
2546,2
2547,3
2548,2
2549,2
2550,2
2551,8
2552,2
2553,8
2554,8
2555,8
2556,3
2557,8
2558,3
2559,8
2560,2
2561,2
2562,5
2563,2
2564,3
2565,8
2566,2
2567,2
2568,2
2569,2
2570,2
2571,8
2572,2
2573,3
2574,8
2575,2
2576,8
2577,3
2578,8
2579,3
2580,2
2581,8
2582,8
2583,8
2584,2
2585,8
2586,8
2587,2
2588,8
2589,8
2590,8
2591,8
2592,3
2593,8
2594,2
2595,8
2596,4
2597,2
2598,8
2599,8
2600,8
2601,2
2602,2
2603,2
2604,8
2605,8
2606,2
2607,2
2608,6
2609,2
2610,8
2611,2
2612,2
2613,8
2614,8
2615,2
2616,2
2617,7
2618,8
2619,2
2620,2
2621,8
2622,8
2623,8
2624,2
2625,2
2626,2
2627,8
2628,2
2629,3
2630,3
2631,8
2632,8
2633,2
2634,5
2635,8
2636,8
2637,2
2638,8
2639,7
2640,8
2641,2
2642,2
2643,2
2644,2
2645,0
2646,8
2647,2
2648,2
2649,2
2650,2
2651,3
2652,8
2653,7
2654,2
2655,8
2656,2
2657,8
2658,2
2659,8
2660,2
2661,8
2662,8
2663,6
2664,2
2665,2
2666,8
2667,2
2668,3
2669,2
2670,3
2671,8
2672,2
2673,2
2674,2
2675,8
2676,8
2677,2
2678,8
2679,2
2680,2
2681,8
2682,8
2683,8
2684,8
2685,8
2686,2
2687,8
2688,8
2689,2
2690,8
2691,8
2692,2
2693,2
2694,3
2695,2
2696,2
2697,8
2698,2
2699,9
2700,2
2701,8
2702,2
2703,8
2704,2
2705,3
2706,2
2707,0
2708,2
2709,2
2710,2
2711,9
2712,2
2713,8
2714,2
2715,2
2716,2
2717,8
2718,2
2719,8
2720,8
2721,2
2722,8
2723,2
2724,2
2725,8
2726,7
2727,8
2728,2
2729,8
2730,8
2731,8
2732,2
2733,8
2734,8
2735,8
2736,3
2737,8
2738,8
2739,8
2740,8
2741,2
2742,2
2743,8
2744,2
2745,3
2746,8
2747,2
2748,8
2749,6
2750,2
2751,2
2752,2
2753,2
2754,2
2755,8
2756,8
2757,8
2758,2
2759,3
2760,8
2761,2
2762,8
2763,8
2764,3
2765,2
2766,3
2767,2
2768,2
2769,2
2770,2
2771,8
2772,8
2773,8
2774,8
2775,8
2776,2
2777,7
2778,8
2779,8
2780,8
2781,2
2782,8
2783,8
2784,2
2785,2
2786,2
2787,8
2788,8
2789,8
2790,8
2791,8
2792,8
2793,9
2794,3
2795,2
2796,8
2797,3
2798,2
2799,2
2800,8
2801,2
2802,8
2803,5
2804,2
2805,2
2806,8
2807,2
2808,2
2809,8
2810,8
2811,8
2812,8
2813,8
2814,8
2815,8
2816,3
2817,8
2818,9
2819,2
2820,2
