id,digit
2049,1
2050,0
2051,3
2052,0
2053,3
2054,8
2055,5
2056,3
2057,4
2058,4
2059,1
2060,0
2061,2
2062,5
2063,1
2064,8
2065,1
2066,6
2067,1
2068,4
2069,1
2070,9
2071,7
2072,2
2073,5
2074,7
2075,0
2076,4
2077,2
2078,2
2079,8
2080,8
2081,0
2082,6
2083,0
2084,4
2085,1
2086,0
2087,4
2088,9
2089,5
2090,1
2091,8
2092,9
2093,5
2094,1
2095,7
2096,8
2097,1
2098,4
2099,2
2100,4
2101,7
2102,2
2103,2
2104,6
2105,1
2106,0
2107,3
2108,5
2109,2
2110,2
2111,1
2112,6
2113,1
2114,0
2115,0
2116,3
2117,1
2118,6
2119,6
2120,6
2121,1
2122,3
2123,3
2124,7
2125,6
2126,9
2127,1
2128,6
2129,7
2130,9
2131,4
2132,6
2133,3
2134,1
2135,6
2136,5
2137,7
2138,5
2139,0
2140,8
2141,0
2142,3
2143,0
2144,6
2145,4
2146,3
2147,0
2148,8
2149,6
2150,0
2151,6
2152,5
2153,0
2154,6
2155,1
2156,9
2157,9
2158,8
2159,9
2160,1
2161,9
2162,0
2163,1
2164,5
2165,0
2166,3
2167,9
2168,1
2169,7
2170,0
2171,9
2172,9
2173,6
2174,1
2175,5
2176,8
2177,4
2178,7
2179,1
2180,5
2181,7
2182,6
2183,6
2184,1
2185,1
2186,6
2187,0
2188,9
2189,1
2190,1
2191,8
2192,2
2193,6
2194,5
2195,3
2196,6
2197,7
2198,4
2199,8
2200,6
2201,6
2202,1
2203,0
2204,4
2205,9
2206,8
2207,8
2208,5
2209,0
2210,4
2211,1
2212,1
2213,8
2214,1
2215,2
2216,4
2217,4
2218,1
2219,0
2220,8
2221,9
2222,6
2223,8
2224,1
2225,4
2226,1
2227,0
2228,8
2229,8
2230,5
2231,4
2232,6
2233,1
2234,0
2235,8
2236,9
2237,2
2238,6
2239,3
2240,6
2241,0
2242,8
2243,5
2244,5
2245,9
2246,0
2247,0
2248,9
2249,1
2250,3
2251,5
2252,7
2253,5
2254,6
2255,4
2256,8
2257,8
2258,7
2259,4
2260,8
2261,2
2262,2
2263,1
2264,4
2265,7
2266,0
2267,8
2268,9
2269,2
2270,6
2271,8
2272,9
2273,7
2274,1
2275,8
2276,7
2277,6
2278,7
2279,1
2280,4
2281,5
2282,9
2283,9
2284,5
2285,6
2286,7
2287,3
