id,digit
2049,1
2050,0
2051,3
2052,0
2053,2
2054,0
2055,3
2056,0
2057,4
2058,0
2059,4
2060,0
2061,0
2062,6
2063,6
2064,4
2065,6
2066,0
2067,2
2068,7
2069,1
2070,4
2071,7
2072,0
2073,5
2074,0
2075,6
2076,0
2077,2
2078,2
2079,6
2080,6
2081,0
2082,5
2083,5
2084,7
2085,4
2086,2
2087,4
2088,4
2089,5
2090,2
2091,8
2092,4
2093,4
2094,1
2095,7
2096,7
2097,7
2098,6
2099,4
2100,2
2101,0
2102,4
2103,0
2104,2
2105,7
2106,0
2107,2
2108,6
2109,0
2110,2
2111,0
2112,0
2113,3
2114,0
2115,6
2116,3
2117,0
2118,1
2119,1
2120,6
2121,2
2122,4
2123,5
2124,7
2125,0
2126,2
2127,1
2128,0
2129,0
2130,4
2131,0
2132,4
2133,1
2134,1
2135,2
2136,0
2137,2
2138,0
2139,0
2140,8
2141,0
2142,2
2143,3
2144,7
2145,7
2146,2
2147,4
2148,4
2149,7
2150,0
2151,6
2152,2
2153,3
2154,6
2155,1
2156,4
2157,4
2158,6
2159,4
2160,1
2161,4
2162,0
2163,1
2164,6
2165,3
2166,0
2167,1
2168,2
2169,7
2170,4
2171,4
2172,2
2173,7
2174,0
2175,0
2176,6
2177,7
2178,0
2179,0
2180,5
2181,7
2182,2
2183,6
2184,4
2185,7
2186,2
2187,0
2188,4
2189,1
2190,1
2191,8
2192,2
2193,4
2194,5
2195,1
2196,6
2197,7
2198,4
2199,4
2200,6
2201,6
2202,1
2203,0
2204,4
2205,6
2206,2
2207,6
2208,4
2209,4
2210,0
2211,1
2212,6
2213,2
2214,4
2215,2
2216,4
2217,0
2218,2
2219,0
2220,7
2221,4
2222,1
2223,6
2224,2
2225,4
2226,7
2227,0
2228,7
2229,4
2230,2
2231,4
2232,4
2233,1
2234,0
2235,7
2236,7
2237,6
2238,6
2239,0
2240,4
2241,0
2242,5
2243,0
2244,2
2245,4
2246,0
2247,0
2248,4
2249,6
2250,7
2251,0
2252,4
2253,4
2254,6
2255,0
2256,7
2257,0
2258,0
2259,4
2260,8
2261,2
2262,2
2263,0
2264,4
2265,7
2266,0
2267,0
2268,4
2269,6
2270,2
2271,1
2272,9
2273,0
2274,4
2275,1
2276,3
2277,2
2278,7
2279,1
2280,4
2281,6
2282,7
2283,4
2284,0
2285,6
2286,7
2287,2
